Indicator,Group,State,Subgroup,Time Period Label,Value
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,Dec 9 - Dec 21,19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,Dec 9 - Dec 21,24
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,Dec 9 - Dec 21,29.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,Dec 9 - Dec 21,24.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,Dec 9 - Dec 21,23.1
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,Dec 9 - Dec 21,10.2
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,Dec 9 - Dec 21,12.7
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,Dec 9 - Dec 21,15.3
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,Dec 9 - Dec 21,11.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,Dec 9 - Dec 21,9.9
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,Dec 9 - Dec 21,5.8
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,Dec 9 - Dec 21,4.3
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,Dec 9 - Dec 21,9.2
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,Dec 9 - Dec 21,7.8
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,Dec 9 - Dec 21,12.4
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Dec 9 - Dec 21,5.4
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Dec 9 - Dec 21,16.8
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Dec 9 - Dec 21,9.9
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Dec 9 - Dec 21,10.4
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Dec 9 - Dec 21,9.2
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Dec 9 - Dec 21,6.1
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Dec 9 - Dec 21,14.9
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,Dec 9 - Dec 21,9.9
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,Dec 9 - Dec 21,7
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Dec 9 - Dec 21,10.7
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Dec 9 - Dec 21,12.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,Dec 9 - Dec 21,9.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,Dec 9 - Dec 21,11.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,Dec 9 - Dec 21,8.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,Dec 9 - Dec 21,9
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,Dec 9 - Dec 21,12.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,Dec 9 - Dec 21,10.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,Dec 9 - Dec 21,15.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,Dec 9 - Dec 21,11.6
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,Dec 9 - Dec 21,16
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,Dec 9 - Dec 21,8
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,Dec 9 - Dec 21,11.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,Dec 9 - Dec 21,8.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,Dec 9 - Dec 21,10.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,Dec 9 - Dec 21,10.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,Dec 9 - Dec 21,8.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,Dec 9 - Dec 21,10.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,Dec 9 - Dec 21,9.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,Dec 9 - Dec 21,9.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,Dec 9 - Dec 21,7.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,Dec 9 - Dec 21,13.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,Dec 9 - Dec 21,12.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,Dec 9 - Dec 21,15.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,Dec 9 - Dec 21,11.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,Dec 9 - Dec 21,11.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,Dec 9 - Dec 21,4.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,Dec 9 - Dec 21,8.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,Dec 9 - Dec 21,7.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,Dec 9 - Dec 21,6.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,Dec 9 - Dec 21,8
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,Dec 9 - Dec 21,11.6
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,Dec 9 - Dec 21,9.8
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,Dec 9 - Dec 21,12.4
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,Dec 9 - Dec 21,11.3
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,Dec 9 - Dec 21,8.8
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,Dec 9 - Dec 21,6.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,Dec 9 - Dec 21,11.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,Dec 9 - Dec 21,8.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,Dec 9 - Dec 21,13.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Dec 9 - Dec 21,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,Dec 9 - Dec 21,10.6
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,Dec 9 - Dec 21,7
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,Dec 9 - Dec 21,8.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,Dec 9 - Dec 21,9.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,Dec 9 - Dec 21,8.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,Dec 9 - Dec 21,9.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,Dec 9 - Dec 21,17.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,Dec 9 - Dec 21,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,Dec 9 - Dec 21,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,Dec 9 - Dec 21,7.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,Dec 9 - Dec 21,8.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,Dec 9 - Dec 21,8.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,Dec 9 - Dec 21,25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,Dec 9 - Dec 21,24.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,Dec 9 - Dec 21,27.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,Dec 9 - Dec 21,26
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,Dec 9 - Dec 21,26.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,Dec 9 - Dec 21,23.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,Dec 9 - Dec 21,21
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,Dec 9 - Dec 21,22
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,Dec 9 - Dec 21,18.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,Dec 9 - Dec 21,31
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Dec 9 - Dec 21,15
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Dec 9 - Dec 21,39.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Dec 9 - Dec 21,21.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Dec 9 - Dec 21,27.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Dec 9 - Dec 21,20.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Dec 9 - Dec 21,12.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Dec 9 - Dec 21,30.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,Dec 9 - Dec 21,22.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,Dec 9 - Dec 21,22.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Dec 9 - Dec 21,27.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Dec 9 - Dec 21,26.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,Dec 9 - Dec 21,27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,Dec 9 - Dec 21,23
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,Dec 9 - Dec 21,23.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,Dec 9 - Dec 21,28.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,California,Dec 9 - Dec 21,23.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,Dec 9 - Dec 21,24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,Dec 9 - Dec 21,27.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,Dec 9 - Dec 21,24.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,Dec 9 - Dec 21,29
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,Dec 9 - Dec 21,22.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,Dec 9 - Dec 21,24.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,Dec 9 - Dec 21,16.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,Dec 9 - Dec 21,28
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,Dec 9 - Dec 21,24.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,Dec 9 - Dec 21,26.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,Dec 9 - Dec 21,30.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,Dec 9 - Dec 21,25.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,Dec 9 - Dec 21,30.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,Dec 9 - Dec 21,36.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,Dec 9 - Dec 21,31.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,Dec 9 - Dec 21,24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,Dec 9 - Dec 21,29.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,Dec 9 - Dec 21,27.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,Dec 9 - Dec 21,28
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,Dec 9 - Dec 21,26.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,Dec 9 - Dec 21,28.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,Dec 9 - Dec 21,30.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,Dec 9 - Dec 21,27.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,Dec 9 - Dec 21,18.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,Dec 9 - Dec 21,33.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,Dec 9 - Dec 21,21.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,Dec 9 - Dec 21,24.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,Dec 9 - Dec 21,21.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,Dec 9 - Dec 21,25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,Dec 9 - Dec 21,22.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,Dec 9 - Dec 21,24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,Dec 9 - Dec 21,29.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,Dec 9 - Dec 21,27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Dec 9 - Dec 21,25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,Dec 9 - Dec 21,28.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,Dec 9 - Dec 21,25.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,Dec 9 - Dec 21,20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,Dec 9 - Dec 21,28.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,Dec 9 - Dec 21,24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,Dec 9 - Dec 21,28.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,Dec 9 - Dec 21,32.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,Dec 9 - Dec 21,22.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,Dec 9 - Dec 21,27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,Dec 9 - Dec 21,31.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,Dec 9 - Dec 21,26.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,Dec 9 - Dec 21,26.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,Dec 9 - Dec 21,12.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,Dec 9 - Dec 21,22.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,Dec 9 - Dec 21,17.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,Dec 9 - Dec 21,13.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,Dec 9 - Dec 21,10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,Dec 9 - Dec 21,6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,Dec 9 - Dec 21,4.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,Dec 9 - Dec 21,6.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,Dec 9 - Dec 21,9.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Female,Dec 9 - Dec 21,15.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Dec 9 - Dec 21,3.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Dec 9 - Dec 21,24.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Dec 9 - Dec 21,13.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Dec 9 - Dec 21,12.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Dec 9 - Dec 21,11.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Dec 9 - Dec 21,7.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Dec 9 - Dec 21,17.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,Dec 9 - Dec 21,13.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,Dec 9 - Dec 21,10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Dec 9 - Dec 21,14.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Dec 9 - Dec 21,11.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,Dec 9 - Dec 21,13.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,Dec 9 - Dec 21,12.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,Dec 9 - Dec 21,14.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,Dec 9 - Dec 21,10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,Dec 9 - Dec 21,14.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,Dec 9 - Dec 21,15.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,Dec 9 - Dec 21,13.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,Dec 9 - Dec 21,13.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,Dec 9 - Dec 21,16.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,Dec 9 - Dec 21,12.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,Dec 9 - Dec 21,9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,Dec 9 - Dec 21,6.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,Dec 9 - Dec 21,14.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,Dec 9 - Dec 21,10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,Dec 9 - Dec 21,10.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,Dec 9 - Dec 21,12
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,Dec 9 - Dec 21,12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,Dec 9 - Dec 21,13
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,Dec 9 - Dec 21,11.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,Dec 9 - Dec 21,11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,Dec 9 - Dec 21,11.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,Dec 9 - Dec 21,10.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,Dec 9 - Dec 21,13.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,Minnesota,Dec 9 - Dec 21,12.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,Mississippi,Dec 9 - Dec 21,11.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,Missouri,Dec 9 - Dec 21,11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,Montana,Dec 9 - Dec 21,12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,Nebraska,Dec 9 - Dec 21,10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,Nevada,Dec 9 - Dec 21,14.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,New Hampshire,Dec 9 - Dec 21,8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,New Jersey,Dec 9 - Dec 21,8.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,New Mexico,Dec 9 - Dec 21,13.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,New York,Dec 9 - Dec 21,9.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,North Carolina,Dec 9 - Dec 21,13.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,Dec 9 - Dec 21,9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,Dec 9 - Dec 21,15.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,Dec 9 - Dec 21,13.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,Dec 9 - Dec 21,16.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Dec 9 - Dec 21,9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,Dec 9 - Dec 21,6.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,Dec 9 - Dec 21,11.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,Dec 9 - Dec 21,8.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,Dec 9 - Dec 21,13.3
